Recipient,CPI_05,CPI_06,CPI_07,CPI_08,CPI_09,CPI_10,CPI_av,Australia ,Austria ,Belgium ,Canada ,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States
      Afghanistan,2.5,,1.8,1.5,1.3,1.4,1.7,20.23,8.19,5.3,100.94,0.56,0.37,0.78,7.35,31.15,23.61,0,0,0.67,8.92,15.14,0.11,1.73,9.12,0,7.17,0.2,0,1.59,0,7.76,9.14,13.11,3.83,43.08,0,7.25,0.05,0.64,0.53,0.27,0.81,4.39,29.86,17.15,0.01,0,0.92,30.22,1.75,17.08,2.17,5.16,0,5.73,0,0,0,0,3.5,12.93,12.57,3.51,47.08,0,6.87,0,0.75,0.62,0.27,0.32,4.37,41.86,25.39,0.01,0,0.76,16.48,-1.5,4.31,1.64,5.88,0,5.27,0.35,0,0.01,0,16.29,10.97,10.01,5.89,36.3,0.01,6.71,0.69,0.04,0.32,1.93,0.44,3.55,38.31,53.27,0.06,0,0.72,27.92,-2.07,0.32,0.62,14.68,0,3.22,0.34,0,0,0.13,13.16,9.91,16.72,2.6,39.78,0.01,7.22,0.01,0.06,0.37,0.59,0.43,3.55,51.3,41.92,0.03,0.04,0.64,31.59,-1.52,0,0.28,6.83,0,0.95,0.19,0,0,0.52,11.52,10.19,13.91,2.34,36.3,0.01,7.33,0.04,0.01,0.45,1.32,0.59,3.71,32.17,41.27,0.08,0,0.07,48.51,1.77,0.01,0.08,3.59,0,2.09,0.37,0,0,0.2,4.06,9.98,15.21,0.93,30.86
      Albania,2.4,2.6,2.9,3.4,3.2,3.3,2.966666667,0,4.46,0.53,0.69,0,8.01,0.02,3.67,13.81,0.44,0,0,4.95,1.1,3.51,0.09,0.01,13.6,1.43,14.94,0.04,0,0,0,0.76,16.05,2.2,46.09,49.81,5.1,1.15,2.92,7.04,0,6.95,0.34,3.49,10.03,0.23,0,0,9.89,2.17,6,0.16,0.03,7.16,0.98,11.31,0,0.01,0,0,0.24,18.37,1.2,67.94,42.22,3.92,1.63,1.5,12.28,0,10.12,0.26,13.5,17.7,0.46,0,0,10.93,1.91,10.98,0.39,1.03,6.13,0.62,11.28,0.03,0.04,0,0,0.59,18.12,3.33,82.05,157.18,20.42,1.2,2.7,19.18,0.22,14.23,1.01,5.99,21.29,1.27,0,0,11.99,2.34,8.32,2.38,1.9,23.91,3.59,16.51,0.04,0.04,0,0.01,3.72,22.63,6.38,83.7,247.05,31.75,0.6,4.91,27.92,0.13,24.24,4.54,3.86,30.27,0.35,0,0,7.51,1.72,9.37,1.45,2.28,18.52,1.13,26.47,0.12,0.11,0,0.01,6.56,28.81,7.77,117.56,274.71,38.51,0.46,1.5,8.01,0.2,23.74,8.42,2.64,30.1,0.22,0,0,6.13,1.26,13.75,2.24,0,12.8,4.31,20.34,0.02,0.05,0,0,3.05,27.81,7.45,115.12,168.74
      Algeria,2.8,3.1,3,3.2,2.8,2.9,2.966666667,0,0.94,15.15,2.14,2.19,25.17,15.91,17.86,101.49,16.91,0.07,2.44,3,28.27,61,9.63,1.72,79.09,11.36,66.06,0.35,5.69,5.52,0,18.81,47.03,24.2,222.86,1576.42,25.99,1.29,7.71,144.38,4.39,30.63,16.35,14.29,119.12,10.22,0.4,3.8,4.24,32.6,98.62,2.17,2.33,84.39,4.34,70.29,0.55,6.48,1.79,0,17.08,47.87,23.76,239.68,1628.52,53.28,0.61,9.66,325.88,9.63,37.66,18.32,17.07,197.66,14.3,6.32,3.47,6.1,55.7,94.73,2.48,3.16,77.07,4.12,84.41,1.56,7.88,1.27,0,36.4,51.61,24.91,234.31,1711.26,139.82,0.73,8.58,188.74,32,42.46,22.95,16.12,251.9,7.66,3.11,2.57,4.96,97.04,173.61,4.48,3.26,89.98,8.81,101.76,1.38,11.6,0.21,0.12,55.82,64.95,17.94,302.31,2340.35,103.12,0.72,16.23,229.36,21.15,74.61,25.1,41.75,294.19,13.7,7.14,1.68,6.11,56.94,254.26,29.79,3.45,122.63,5.15,106.08,5.69,9.75,0.43,0.11,79.46,78.54,22.37,347.12,3277.88,85.31,2.21,13.59,231.19,10.96,67.89,24.21,51.06,427.5,0.11,5.49,1.41,8.54,48.1,542.01,101.84,2.97,99.36,3.64,99.92,5.81,12.26,0.44,0.44,51.3,84,18.92,250.29,3193.66
      Angola,2,2.2,2.2,1.9,1.9,1.9,2.016666667,0,1.86,2.62,4.56,0.22,-0.06,0.74,233.81,2.62,0.02,0,0,0,9.82,1.6,0.37,0.02,0.1,0,0.82,0.02,0.01,0,0,-3.98,2.38,3.26,0,1.26,0,0.16,13.32,-3.57,0.18,-0.57,0.49,169.5,-25.72,0.03,0.01,0,0,10.9,-10.72,1.84,0.16,0.12,0,1.05,0.02,0.1,0,0,40.95,0.47,2.14,0,0.88,0,0.16,11.76,0.81,0,0,1.09,161.82,8.54,0.03,0,0,0,4.54,6.81,2.62,0,0,0,1.14,-0.09,0.11,0,0,50.66,0.81,2.63,0.5,1.91,0,0.15,8.72,2.59,0.08,0,0.41,98.62,10.68,0.11,0.03,0,0,8.46,3.36,3.86,0.02,0,0,0.05,0.04,0.05,0,0.03,49.91,1.85,1.37,1.98,10.1,0,0.12,9.6,2.8,0.11,0,0.5,79.2,11.4,0.1,0.06,0,0,3.18,1.41,3.21,0,0,0,0.83,0.04,0.05,0,0.02,43.66,1.3,1.6,3.86,8.89,0,0.11,9.21,-0.43,0.21,4.69,0.18,60.84,9.31,0.06,0.04,0,0,4.31,11.25,3.14,0,0.14,0,0.85,0.03,0.02,0,0,8.04,1.46,1.22,2.34,9.37
      Anguilla,,,,,,,,0,0,0,1.77,0.37,4.49,3.18,10.01,12.52,0.36,0,0,3.4,11.92,22.58,0.02,0,12.8,0,23.04,0.19,21.47,0.03,0,15.97,11.86,7,14.24,80.41,0.06,0.03,0.36,1.43,0.83,7.24,2.58,-94.9,11.46,0.03,0,0,2.68,-31.45,11.39,10.18,0,2.04,0.1,23.6,92.56,19.77,0,0,-62.75,7.43,4.74,12.27,38.11,0.94,0.03,-5.66,4.24,1.33,5.94,1.94,2.83,11.16,0.07,0,0,2.48,-27.47,21.66,16.74,0,-42.77,0.12,19.14,0.42,16.77,0,0,14.74,6.11,2.05,8.75,44.79,0,0.04,0.76,0.4,1.42,5.04,2.11,2.37,9.98,0.02,0,0,2.72,26.61,14.81,28.92,0,-2.15,0,14.03,5.03,15.63,0,0,10.55,4.36,1.57,8.96,47.3,0,0.05,-0.48,0.89,1.88,3.29,1.93,3.48,7.33,0.02,0,0,2.07,1.22,5.12,35.04,0,-2.71,0,16.32,6.58,-8.25,0,0,16.3,1.9,0.75,4.75,45.65,0,0.02,0.34,0.57,1.54,1.09,1.83,3.57,6.42,0.1,0,0,1.1,0.2,27.35,20.47,0,-2.35,0,10.99,1.17,-11.2,0,0,4.63,1.08,0.43,17.78,58.17
      Antigua and Barbuda,,,,,,,,0.01,0.01,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,1.29,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
      Argentina,2.8,2.9,2.9,2.9,2.9,2.9,2.883333333,0,0.13,0.42,3.99,0,0,0,0.03,0,0.04,0,0,0,0,4.65,0.11,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.06,0,0,0.06,0,0,0,0,0,0.02,0,0,0,0,1.83,0.21,0,0,0,0,0,0,0,0,0.01,0,0,0,-0.22,0,0.2,0,1.61,0,0,0,0.02,0,0.07,0,0,0,0,0.2,0.07,0,0,0,0,0,0,0,0,0,0,0,0.01,-0.21,0,0,0,0.05,0.02,0,0,0.01,0.01,0.08,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.02,-0.22,0,0.02,0,1.9,0,0,0,0,0,0.05,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,-0.2,0,0,0,0,0,0,0.03,0,0.01,0.06,0,0,0,0,4.91,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0.12
      Armenia,2.9,2.9,3,2.9,2.7,2.6,2.833333333,0,1.85,0.3,1.09,0.1,0,0.25,12.44,13.3,0.31,0,0,0.16,22.26,9.42,0.2,0.12,0.31,0.36,0,0.06,0.03,0,0,12.21,0.41,0.4,0,1.63,0,0.1,0.28,1.51,0.17,0,0.34,15.51,11.02,0.21,0,0,0.21,26.58,7.34,0.19,0.23,0.13,0.26,0.02,0.02,0.07,0,0,13.04,0.36,0.42,0,2.29,0,0.13,0.22,3.36,0.17,-0.64,0.17,14.68,10.86,0.29,0.01,0,0.4,-14.77,14.15,0.04,0.17,0.03,0.18,0.04,0.04,0.12,0,0,18.1,0.8,0.37,0.84,8.84,0.03,0.23,0.27,1.72,0.12,-0.18,0.4,10.33,18.95,0.42,0,0,0.26,2.79,4.92,0.2,0.21,0.2,0.49,0.09,0.01,0.1,0,0.25,23.07,0.19,0.3,0.92,7.95,0.07,0.26,0.02,2.08,0.15,0,0.25,10.28,19.8,0.47,0.05,0,0.26,1.12,6.81,0.12,0.13,0.18,0.24,0.05,0.02,0.08,0,0.02,19.39,0.87,0.5,1.06,2.88,0.15,0.32,0.01,0.89,0.14,0,0.19,11.77,19.96,0.5,0.02,0,0.29,0.39,29.32,0.18,0.14,0.45,0.13,0.08,0.01,0.04,0,0.05,19.36,0.11,0.48,0.58,4.1
      Aruba,,,,,,,,0,0,0,0,0.56,0.17,0.08,3.84,30.66,1.94,0,0,0.19,1.28,4.61,0.07,0.09,11.64,0,5.71,0.11,0,0,0,0.39,1.67,3.05,6.3,63.69,0,0.37,0.96,0.13,0.45,0.97,0.27,13.79,16.81,1.38,0,0,0.23,0.07,7.05,0.13,0,8.2,0,5.27,0.17,0,0,0,0.27,2.39,3.5,8.16,75.27,0,0.56,0.34,1.8,0.39,1.98,0.26,7.43,20.51,4.48,0,0,0.03,0.04,79.93,0.05,0,5.03,0,4.17,0.18,0,0,0,0.04,3.32,2.76,6.55,90.32,0,0.39,0.55,0.24,0.52,1.76,0.27,4.48,23.91,2.28,0,0,0.02,1.16,48.15,0.18,0,0.14,0,2.61,0.37,0,0,0,0.54,2.35,2.43,6.19,103.95,0,1.13,0.09,0.72,0.33,2.38,0.27,4.75,27.03,2.22,0,0,0,0.44,74.7,0.05,0,2.5,0,2.85,0.46,0,0,0,0.28,2.23,3.14,1.09,86.29,0,1.33,0.03,0.01,0.56,1.57,0.12,3.9,15.22,1.37,0.02,0,0,0.06,56.3,0.93,0.1,1.35,0,2.97,0.48,0,0,0,0.22,0.86,2.82,0.52,98.89
      Azerbaijan,2.2,2.4,2.1,1.9,2.3,2.4,2.216666667,0,0.92,0.07,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
