Recipient,GDPpc_05,GDPpc_06,GDPpc_07,GDPpc_08,GDPpc_09,GDPpc_10
      Afghanistan,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894
      Albania,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832
      Algeria,3100.122378,3464.610079,3935.183343,4905.254866,3868.83123,4463.394675
      Angola,1443.991929,2062.415149,2878.837144,3868.578883,3347.84485,3529.053482
      Anguilla,NA,NA,NA,NA,NA,NA
      Antigua and Barbuda,11371.93895,12724.39377,14252.29452,14703.31923,13012.46692,12126.87614
      Argentina,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605
      Armenia,1643.758397,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655
      Aruba,23302.83199,24014.94427,25921.02605,27546.89939,24631.43486,24271.94042
      Azerbaijan,1578.40239,2473.085776,3851.437869,5574.603802,4950.294791,5842.805784
      Bahamas,23405.45302,23719.10788,24301.24325,23652.33053,22037.10801,21921.55906
      Bahrain,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389
      Bangladesh,484.1554071,494.0501466,541.0651484,615.7775411,681.1205368,757.6717572
      Barbados,14223.86576,15646.05591,16462.48556,16570.32028,16523.32388,15905.91232
      Belarus,3126.071767,3848.215966,4735.484827,6376.183153,5176.172649,6030.388707
      Belize,3933.332215,4187.37803,4324.876427,4470.220796,4258.788611,4344.150177
      Benin,601.799977,625.830092,706.0535419,820.1513498,793.45243,757.6959074
      Bermuda,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756
      Bhutan,1247.061392,1335.456906,1741.142552,1795.181307,1770.234497,2178.921383
      Bolivia,1046.427384,1233.594435,1389.634888,1736.935051,1776.866476,1981.160705
      Bosnia and Herzegovina,2968.411806,3404.321698,4180.292176,5075.316064,4697.809732,4611.470298
      Botswana,5351.253732,5374.554867,5714.047937,5623.379566,5185.729845,6346.156204
      Brazil,4770.182746,5860.145975,7313.557962,8787.610375,8553.38047,11224.15408
      British Virgin Islands,NA,NA,NA,NA,NA,NA
      Brunei Darussalam,26102.13345,30980.96692,32672.36717,37951.2806,27965.47504,35268.10117
      Burkina Faso,406.9988071,422.6332374,475.1100122,569.7612784,552.7455521,575.4464527
      Burundi,150.5070434,165.8794176,170.7999005,196.2472628,204.9446502,231.1943256
      Cabo Verde,2048.13459,2304.289902,3112.285712,3638.905946,3444.5566,3312.825985
      Cambodia,474.2238766,539.8791529,631.675789,745.7877873,738.2326684,785.6928841
      Cameroon,952.1872484,1002.989164,1110.701186,1233.524316,1203.195308,1182.869227
      Cayman Islands,NA,64100.9077,NA,NA,NA,NA
      Central African Republic,327.1149461,347.6073678,397.1480467,456.8614334,449.9601839,446.4434494
      Chad,660.2421396,712.1847694,801.683884,929.7702391,804.4559039,896.5697341
      Chile,7615.30468,9484.681227,10526.87746,10781.36608,10243.32824,12860.17764
      China (People's Republic of),1753.4178,2099.229676,2695.366223,3471.247547,3838.434292,4560.512487
      Chinese Taipei,NA,NA,NA,NA,NA,NA
      Colombia,3386.0256,3709.078776,4674.21961,5433.72045,5148.422113,6250.655044
      Comoros,621.9033702,648.3008717,720.7593013,795.9705019,778.5454199,769.1742883
      Congo,1637.064381,2012.11007,2111.209489,2881.594292,2255.332879,2737.342365
      Cook Islands,NA,NA,NA,NA,NA,NA
      Costa Rica,4697.011135,5245.187372,6120.623418,6911.136136,6809.396224,8199.414621
      Côte d'Ivoire,931.754287,951.9478956,1065.896375,1242.431044,1217.749206,1219.749096
      Croatia,10224.24059,11363.41845,13546.69872,15893.86056,14157.14416,13505.74586
      Cuba,3779.05707,4669.060916,5184.494227,5376.447622,5484.7763,5676.141403
      Cyprus,25324.48666,27169.99256,31386.63265,35390.70488,32105.8159,30818.46396
      Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA
      Democratic Republic of the Congo,218.5235092,252.8430454,280.1217437,318.1201341,292.6284114,318.0757516
      Djibouti,904.7297489,965.6693779,1047.586896,1214.077118,1253.657431,1325.990724
      Dominica,5244.033732,5513.16071,5939.053585,6446.663832,6866.224899,6912.435714
      Dominican Republic,3681.059903,3836.468771,4647.310359,5011.037937,4952.677503,5451.06696
      East African Community,NA,NA,NA,NA,NA,NA
      Ecuador,3021.942547,3350.786541,3590.718086,4274.952065,4255.565701,4657.302361
      Egypt,1168.115231,1375.196316,1640.476068,2011.246154,2291.667062,2602.479549
      El Salvador,2835.281237,3062.951768,3304.838107,3507.347674,3366.482133,3474.392445
      Equatorial Guinea,10850.63334,12732.02759,15761.83913,22742.38159,16530.20937,17136.44568
      Eritrea,276.7508096,297.8280588,317.3294336,326.0825642,430.7544499,482.1490904
      Ethiopia,161.6266248,193.7949056,243.3026822,325.3825543,379.7566385,341.3099092
      Fiji,3658.630832,3749.939813,4078.82327,4177.657789,3369.408247,3651.966784
      Former Yugoslav Republic of Macedonia,NA,NA,NA,NA,NA,NA
      French Polynesia,NA,NA,NA,NA,NA,NA
      Gabon,6741.293948,7027.777345,8352.817101,10094.02746,7603.660223,8754.113376
      Gambia,432.1929061,439.3423674,519.0452794,607.9479735,549.317956,562.8517527
      Georgia,1530.057521,1872.680416,2492.12878,3174.949001,2706.588512,2964.477034
      Ghana,498.1723904,922.9351677,1090.686718,1224.401554,1086.765038,1312.607557
      Gibraltar,NA,NA,NA,NA,NA,NA
      Grenada,6754.512393,6764.722867,7322.596862,7946.944346,7395.088125,7365.666659
      Guatemala,2077.83438,2256.56724,2489.955836,2794.221809,2635.753474,2825.52407
      Guinea,303.424498,296.6803082,409.456775,437.4467238,436.6895539,438.7513346
      Guinea-Bissau,424.9534585,418.9445004,481.0694976,583.5445622,544.2220779,543.9574108
      Guyana,1098.455216,1945.630905,2327.058324,2576.124957,2716.35256,3026.281212
      Haiti,465.3101876,505.4706206,615.8198192,674.7564147,668.2976046,662.2795182
