Recipient,ODS_05,ODS_07,ODS_10,PMF_05,PMF_07,PMF_10,RPS_07,RPS_10,ROF_05,ROF_07,ROF_10,MA_05,MA_07,MA_10
      Afghanistan,0,2,3,0,3,3.5,3,0,0,2,3,1,1,0
      Albania,3,3,4,4,0,0,0,3,2,2,3,0,0,1
      Algeria,,,,,,,,,,,,,,
      Angola,,,,,,,,,,,,,,
      Anguilla,,,,,,,,,,,,,,
      Antigua and Barbuda,,,,,,,,,,,,,,
      Argentina,,,,,,,,,,,,,,
      Armenia,3,3,3,4,4,4.5,0,0,3,3,2,0,0,0
      Aruba,,,,,,,,,,,,,,
      Azerbaijan,,,,,,,,,,,,,,
      Bahamas,,,,,,,,,,,,,,
      Bahrain,,,,,,,,,,,,,,
      Bangladesh,3,3,3,3,3,3,0,0,2,3,3,0,0,0
      Barbados,,,,,,,,,,,,,,
      Belarus,,,,,,,,,,,,,,
      Belize,,,,,,,,,,,,,,
      Benin,3,3,4,4,3.5,3.5,0,0,3,3,2,0,0,1
      Bermuda,,,,,,,,,,,,,,
      Bhutan,,,,,,,,,,,,,,
      Bolivia,3,3,3,3.5,3.5,3.5,0,0,3,3,3,1,0,0
      Bosnia and Herzegovina,3,3,2,3.5,3.5,3.5,0,0,2,3,3,0,0,0
      Botswana,0,0,4,0,0,0,0,0,0,0,3,0,0,0
      Brazil,,,,,,,,,,,,,,
      British Virgin Islands,,,,,,,,,,,,,,
      Brunei Darussalam,,,,,,,,,,,,,,
      Burkina Faso,3,4,3,4,4,4.5,0,0,3,3,3,0,0,0
      Burundi,2,3,2,2.5,3,3,0,0,2,2,2,0,1,0
      Cabo Verde,3,3,2,3.5,4,4,0,0,2,3,3,1,0,0
      Cambodia,3,3,4,2.5,3,3.5,0,3,3,3,3,1,1,1
      Cameroon,3,3,3,3.5,3.5,3,4,0,2,2,4,0,0,0
      Cayman Islands,,,,,,,,,,,,,,
      Central African Republic,2,2,2,2,2,3,0,0,2,2,3,0,0,1
      Chad,3,3,2,3,2,2,0,0,2,2,2,0,0,0
      Chile,,,,,,,,,,,,,,
      China (People's Republic of),,,,,,,,,,,,,,
      Chinese Taipei,,,,,,,,,,,,,,
      Colombia,0,0,4,0,0,0,0,0,0,0,4,0,1,1
      Comoros,0,0,2,2,1.5,2,0,0,0,0,2,0,0,0
      Congo,2,2,2,2.5,2.5,2.5,0,0,2,2,3,0,0,0
      Cook Islands,,,,,,,,,,,,,,
      Costa Rica,,,,,,,,,,,,,,
      Côte d'Ivoire,2,1,0,2.5,2,2.5,0,0,2,1,0,0,0,0
      Croatia,,,,,,,,,,,,,,
      Cuba,,,,,,,,,,,,,,
      Cyprus,,,,,,,,,,,,,,
      Democratic People's Republic of Korea,,,,,,,,,,,,,,
      Democratic Republic of the Congo,,,,,,,,,,,,,,
      Djibouti,,,,,,,,,,,,,,
      Dominica,,,,,,,,,,,,,,
